ID,MeetingNote
SeattleCityCouncil_12142015_CB 118499,"Meeting Title: Discussion on Seattle City Council Bill 118499

Location: Seattle

Date: December 14, 2015

Attendees:
- Speaker 1
- Speaker 2
- Speaker 3 (Council member Harris)
- Speaker 4 (Member of Rasmussen)
- Speaker 6 (Council member Swan)
- Speaker 7
- Speaker 8
- Speaker 9
- Speaker 0

Agenda items discussed:
- Adoption of the resolution and report of the Finance and Culture Committee.
- Detailed discussion on Council Bill 118499 related to taxicab, transportation network company, and for-hire vehicle drivers.
- Proposals for amendments to improve the regulatory environment for workers.
- Debate on the necessity and impact of granting collective bargaining rights to drivers.
- Opinions and support for the bill from various council members emphasizing worker rights, innovation, and the effects of income inequality.

Summary:
The Seattle City Council convened to discuss and vote on Council Bill 118499, a landmark piece of legislation aimed at reshaping the regulatory landscape for taxicab, transportation network, and for-hire vehicle drivers. The bill's central objective is to ensure that innovation and changes in the workplace benefit workers by granting them a say in their employment terms, thus elevating their living standards. Throughout the meeting, various amendments were proposed, aiming to fortify the bill's intent as originally discussed in the committee, while addressing both legal and technical concerns. Council members, reflecting diverse backgrounds and perspectives, engaged in a passionate discourse about workers' rights, the evolving nature of the economy, and the imperative for legislative action to rectify income disparity and labor injustices. The discussion underscored the council's commitment to progressive policies even amidst potential legal challenges, encapsulating issues of economic equity, worker empowerment, and communal welfare in the face of technological advancements.

Notes:
- The bill envisions a collaborative regulatory environment, balancing innovation with workers' rights.
- Several sets of amendments were suggested, focusing on legal robustness and technical clarity.
- Strong advocacy from council members from various committees, illustrating the bill's wide support.
- Key arguments revolved around the historical challenge of uniting workers from different sectors for collective bargaining rights.
- Concerns were raised about the potential legal challenges the bill might face, paralleling historical legislative efforts for social justice.
- Unanimous support for the bill signifies a collective move toward improving labor conditions and addressing income inequality."
SeattleCityCouncil_12142015_CB 118584,"Meeting Title: Seattle City Council Meeting on Historic Preservation of the Seattle Post-Intelligencer Globe

Location: SeattleCityCouncil_12142015_CB 118584

Date: December 14, 2015

Attendees:
- Speaker 1
- Speaker 2
- Speaker 3
- Speaker 4
- Councilmember Harrell
- Councilmember Bagshaw
- Councilmembers Gordon
- Councilmember Burgess
- Councilmember Clarke
- Councilmember Rasmussen
- Councilmember Licata
- Councilmember O'Brien
- Councilmember Gonzalez

Agenda items discussed:
- Confirmation vote for Mr. Strong
- Report of the Public Utilities and Neighborhoods Committee
- Council Bill 118 584 Relating to Historic Preservation
- Designation of the Seattle Post-Intelligencer Globe as a historical landmark
- Ownership and future location of the Seattle Post-Intelligencer Globe

Summary:
During the Seattle City Council meeting on December 14, 2015, key topics discussed included the confirmation of Mr. Strong, the presentation of the Public Utilities and Neighborhoods Committee's report, and the historic designation of the Seattle Post-Intelligencer Globe. Council Bill 118 584, which proposed adding the Globe to the city's table of historical landmarks, was recommended for passage. The Globe, known for its emblematic significance and historical value, was highlighted by speakers for its connection to Seattle's history and journalism heritage. Councilmembers Gordon, Burgess, and Clarke, along with former councilmember Clark, were acknowledged for nominating the Globe for historic designation following its vacancy. Questions regarding the Globe's ownership and attachment to its current location were raised, with the Museum of History and Industry identified as the current owner. The bill was ultimately passed unanimously, marking a significant milestone in the city's efforts to preserve its historical landmarks.

Notes:
- The Globe was constructed in 1948, originally placed atop the pie building at Sixth Avenue and Wall Street.
- In 1986, the Globe was relocated to its present location on Elliott Avenue West.
- The Globe weighs approximately 18.5 tons and features neon signs and an eagle, symbolizing its importance to Seattle's journalistic history.
- The historic designation controls the Globe but not its steel base or the building it sits upon.
- Ownership has transitioned to the Museum of History and Industry, with discussions ongoing about its future location.
- The bill's passage reflects the council's commitment to preserving Seattle's cultural and historical assets."
SeattleCityCouncil_09212015_CB 118482,"Meeting Title: Review and Approval of Council Bill 118482 for Pedestrian Plaza Permit Renewal

Location: Seattle City Council

Date: 09/21/2015

Attendees:
- Councilmember Rasmussen
- OKAMOTO
- O'Brien
- Facture Gordon
- Harrell Lakota
- President Burgess

Agenda items discussed:
- Report of the Transportation Committee on Agenda Item 28 Council Bill 118482 relating to an open space improvements over and across Utah Avenue south between South Stacy Street and South Lander Street.
- Renewal of a ten-year permit for the pedestrian plaza in front of the large former Sears building on South Utah, with an annual fee of $21,800.
- Passage of the bill.

Summary:
During the meeting, the Seattle City Council discussed the Report of the Transportation Committee on Agenda Item 28, which is Council Bill 118482. This bill pertains to open space improvements over and across Utah Avenue South between South Stacy Street and South Lander Street. The specifics of the bill include the renewal of a ten-year permit for maintaining a pedestrian plaza located in front of the large former Sears building on South Utah. Councilmember Rasmussen highlighted that the annual fee for this permit would be $21,800. He emphasized the success of the pedestrian plaza in enhancing pedestrian safety and the enjoyment it provides for residents and tenants of the building. The committee recommended approval of the bill, and after deliberation and a role call for votes, the bill passed with majority support. The meeting also briefly touched upon agenda items 29 through 36, specifically appointments 165 and 168, regarding Kevin Duffy Greaves and Celeste Gillman as members of the Seattle Transit Advisory Board for confirmed terms.

Notes:
- The pedestrian plaza in question has been identified as beneficial for both pedestrian safety and resident enjoyment, which contributed to the committee's recommendation for approval.
- The annual fee associated with the permit's renewal is $21,800.
- The approval process involved a role call where the members voted in favor, leading to the bill's passage.
- Following the discussion on Council Bill 118482, the council proceeded with the review of further agenda items, including appointments to the Seattle Transit Advisory Board."
SeattleCityCouncil_09142015_CB 118491,"Meeting Title: Seattle City Council Meeting on Public Access and Education Support

Location: SeattleCityCouncil_09142015_CB 118491

Date: September 14, 2015

Attendees:
- Councilmember Licata
- Speaker 7
- Speaker 8
- Councilmember Rasmussen
- Speaker 1
- Speaker 2
- Speaker 4
- Speaker 5
- Speaker 9
- Councilmember O'Brien
- Councilmember Okamoto
- Councilmember Harrell
- President Burgess
- Speaker 0
- Speaker 3

Agenda items discussed:
- Council Bill 118491: Grant of an easement for public access over and across Old Fire Station 7.
- Legislation converting parking space into a mini park at Old Fire Station 7 on Capitol Hill.
- Confirmation of landmark status for Old Fire Station 7.
- Resolution 31615: Support for Seattle Education Association and public education.
- Public Employment Relations Committee decision regarding unfair labor practice by the city.

Summary:
The meeting focused on two main topics: the grant of an easement for public access at Old Fire Station 7, allowing for the conversion of a parking space into a public mini park, and the support of the Seattle Education Association in their fight for improved pay, working conditions, and the broader issue of underfunded public education. The attendees discussed the specifics of the Council Bill 118491, confirming certain deed restrictions and ensuring the site remains a public space. There was also a significant focus on public education, with detailed discussion on the challenges faced by educators, the underfunding of schools, and the role of the Seattle Education Association in advocating for better conditions for educators and students alike. The resolution 31615 was unanimously adopted, confirming the council's support for education and teachers' rights. Furthermore, the council addressed a finding by the Public Employment Relations Committee declaring the city committed an unfair labor practice, outlining steps to rectify the situation.

Notes:
- The conversion of Old Fire Station 7 into a public space is tied to ensuring it maintains its historical integrity while providing community value.
- The strong support for public education and educators was evident throughout the discussions, highlighting ongoing issues such as underfunding, the importance of equitable pay, and the role of standardized testing.
- The unanimous adoption of Resolution 31615 signals strong council and community support for teachers and public education.
- The meeting also addressed a legal notice regarding a previous unfair labor practice, indicating the city's commitment to correcting its mistake and adhering to collective bargaining rights."
SeattleCityCouncil_08172015_CB 118407,"Meeting Title: Review and Amendments of Council Bill 118407

Location: SeattleCityCouncil_08172015_CB 118407

Date: August 17, 2015

Attendees:
- Speaker 0
- Speaker 2
- Speaker 3
- Speaker 4
- Speaker 6
- Speaker 8
- Speaker 9

Agenda items discussed:
- The Report of the Planning, Land Use and Sustainability Committee on Agenda Item 11: Council Bill 118407, concerning land use, zoning, and environmental policy.
- Discussion on the omnibus bill and its nature of bundling clean-up legislation.
- Deliberation on three proposed amendments to the omnibus bill.

Summary:
The meeting concentrated on Council Bill 118407, an omnibus bill composed of various pieces of clean-up legislation related to land use, zoning, and environmental policy. The discussion began with an outline of the bill's purpose and contents by Councilmember O'Brien. The bill, which undergoes revision every 18 months, sought to address minor amendments accumulated over time by the staff. Three proposed amendments were highlighted, each aiming to remove a specific portion from the bill to maintain current law as it stands.

The first amendment, introduced by Councilmember O'Brien, concerned the Wallingford design guidelines and proposed to retract changes to where these guidelines apply, giving the Wallingford community more time for briefing.

Councilmember Harrell introduced the second amendment, suggesting the removal of Section 8 from the omnibus legislation, which pertained to modifying the design review process. This sparked a debate on the appropriateness of such significant changes within an omnibus bill and the future considerations by the HALA Committee.

The third amendment, again put forward by Councilmember O'Brien, related to the option for citations concerning noise variance, aiming to retain the existing law until a thorough discussion could be facilitated.

Throughout the debate, concerns were raised about the implications of the amendments on local communities and the design review process. The attendees debated the balance between correcting minor legislative issues and addressing substantial policy changes within the context of an omnibus bill.

Notes:
- The meeting underscored the complexity of legislative review and the challenges of balancing technical amendments with broader policy considerations.
- Councilmember O'Brien's efforts to address community concerns and ensure thorough review of proposed changes were evident throughout the discussion.
- The differing viewpoints on Amendment 2, regarding the design review process, highlighted the ongoing debate within the council on how best to manage development while protecting neighborhood interests.
- The failure of Amendment 2, with a vote tally, illustrated the council's cautious stance towards making significant changes to the design review process within the omnibus bill framework.
- The discussions revealed a collective interest in further examining the design review process, with an acknowledgment of the need for more in-depth debate and consideration in future legislative revisions."
SeattleCityCouncil_06292015_CB 118402,"Meeting Title: Seattle City Council Meeting on Council Bill 118402

Location: SeattleCityCouncil_06292015_CB 118402

Date: June 29, 2015

Attendees: 
- Speaker 1
- Speaker 3
- Speaker 5
- Speaker 6
- Councilmember Rasmussen
- Councilmember Lakota
- Councilmember Bagshaw
- Councilmember Burgess
- Additional councilmembers and attendees not individually named

Agenda items discussed:
- Council Bill 118402 regarding transportation funding and improvements.
- The substitution of version four for Council Bill 118402.
- The unanimous adoption of the amended bill version four.
- Detailed discussion on the transportation funding and improvements, including budget allocations and specific project outlines.
- Concerns and improvements raised by Councilmember Lakota.
- Support and additional suggestions by Councilmember Bagshaw.
- Closing summary and acknowledgments by Speaker 6 and Speaker 1.

Summary:
The meeting focused on the comprehensive discussion and subsequent passage of Council Bill 118402, which aims to address Seattle's transportation funding and improvement needs through the levy of regular property taxes for up to nine years. Speaker 6 provided an elaborate explanation on the necessity of the bill highlighting its major components, including maintenance and repair of bridges and streets, congestion relief, and funding for safe routes and transportation infrastructure improvements. Concerns regarding the fairness of the financial burden distribution and the bill's larger size compared to its predecessor were voiced by Councilmember Lakota. Councilmember Bagshaw expressed strong support, emphasizing the significance of the investments in congestion reduction, maintenance, and safety, while acknowledging the collective effort and leadership in reframing the investments. The discussion concluded with the unanimous passage of the bill and the signing by the chair, underscoring a collective resolve to meet public transportation demands and ensure equitable distribution of resources across Seattle.

Notes:
- The meeting underscored a significant collaborative effort among council members, public advocates, and city departments to address transportation concerns.
- Emphasis was placed on the importance of public input and the collective responsibility in maintaining and improving the city's transportation infrastructure.
- Several council members raised concerns about the potential financial impact on renters and the overall size of the levy, highlighting the need for equitable and fair distribution of the financial burden.
- Acknowledgments were made to various staff, community advocates, and organizations that contributed to shaping the bill, demonstrating a wide range of community engagement and support.
- The detailed discussion and passage of Council Bill 118402 serve as a testament to Seattle's commitment to addressing transportation issues and improving citywide accessibility and safety."
SeattleCityCouncil_06222015_Res 31594,"**Meeting Title:** Seattle City Council Meeting - Resolution 31594 Discussion

**Location:** Seattle City Council Chambers

**Date:** June 22, 2015

**Attendees:**
- Speaker 0: Councilmember Rasmussen
- Speaker 1: Chair of the Energy Committee
- Speaker 2: 
- Speaker 3: 
- Speaker 4: 
- Speaker 7: 

**Agenda items discussed:**
- Agenda Item ten: Resolution 31594. Setting the public hearing on the petition of the Seattle City LT Department for the vacation of Pontius Avenue North between Danny Way and John Street in the South Lake Union Urban Center neighborhood of Seattle.
- Setting the date and location for a public hearing on the Danny substation site at Pontius and Denny.
- Discussion on the impact of the Denny substation construction in the Cascade neighborhood.

**Summary:**
The Seattle City Council convened on June 22, 2015, to discuss and set a date for a public hearing concerning the vacation of Pontius Avenue North for the construction of the Denny substation. The meeting opened with presenter enumerating the resolution and its focus, which set the stage for a deeper examination and procedural decisions. Councilmember Rasmussen clarified the resolution’s mundane aim of merely scheduling the public hearing, emphasizing the routine nature of the amendment. Despite some initial confusion over the exact date and readiness, the group collaboratively determined the hearing to be scheduled for July 30, 2025, at 5:30 PM, taking place at the Belltown Community Center. The importance of notifying the public in advance was underscored, reflecting a commitment to transparency and community engagement. Discussions also revealed concerns regarding the unusual placement of such a substantial infrastructure project within a densely populated and economically diverse neighborhood, sparking initiatives for diligent community outreach and impact mitigation. Though the resolution was primarily procedural, it elicited critical reflections on urban planning, community inclusivity, and the delicate balance between infrastructural development and residential well-being. The resolution for setting the public hearing was adopted unanimously, showcasing a collective readiness to move forward with open dialogue and thoughtful consideration of community feedback.

**Notes:**
- The initial confusion over the hearing's scheduling details showcased a need for better preparatory work in future meetings.
- The Chair of the Energy Committee’s emphasis on the potential impact of the Denny substation on the Cascade neighborhood highlighted the Council's awareness and proactive stance towards community concerns and engagement.
- The unanimous adoption of the resolution reflects a collective agreement on the importance of proceeding with the public hearing, underscoring the Council's unified approach to city governance and infrastructure development.
- The meeting adjourned with arrangements for the Select Committee on the Central Waterfront to reconvene at 3:30, adapting the day's schedule to accommodate a significant community event regarding the Vietnamese Heritage and Freedom flag, demonstrating the Council's flexibility and responsiveness to civic participation and heritage matters."
SeattleCityCouncil_05042015_CB 118369,"Meeting Title: Seattle City Council Meeting on Water Rates and Charges Adjustment

Location: SeattleCityCouncil_05042015_CB 118369

Date: May 4, 2015

Attendees:
- Councilmember Bagshaw
- Councilmember So on
- Councilmember Okamoto
- Council President Burgess
- Speaker 7
- Meg Moorhead from Gunnison Central staff
- Members of the Seattle Public Utilities and Neighborhood Committee

Agenda items discussed:
- Utilities relating to the rates and charges for water services of Seattle
- Authorizing withdrawals from the water fund, revenue stabilization subfund
- Revising water rates and charges and credits to low-income customers
- Amending the Seattle Municipal Code Sections: 21.04.430, 21.04.440, and 21.76.00
- Endorsement of water rates for 2016 and 2017
- Review of the Seattle Times article regarding Seattle's water bills
- Proposal for a smaller rate increase than initially projected in the SPU Strategic Business Plan
- Discussion on the tax structure implications of rate increases on residential customers

Summary:
In this gathering of the Seattle City Council, the primary focus was on adjusting the rates and charges for water services provided by Seattle Public Utilities. Initial remarks addressed corrections to a recent Seattle Times article, stressing that despite the article’s claim, Seattle does not have the highest water bills in the nation. This clarification set the stage for a broader debate on the adequacy and fairness of the proposed rate adjustments for 2016 and 2017. Councilmembers detailed the effort to keep water rates low, highlighting that the newly proposed rates represent a smaller increase than originally projected by the SPU Strategic Business Plan. Despite the general consensus on the necessity of the rate adjustments, concerns were voiced about the broader implications of such increases, especially in light of Seattle and Washington State's regressive tax structure. The discussion critiqued how the burden of utility costs might disproportionately impact lower-income residents, suggesting that alternate strategies, such as varying cost allocation formulas used for corporate users, should be considered to offset such disparities. The council ultimately voted in favor of the adjustments, with a single opposition, underscoring a collective recognition of the need for infrastructural support through rate revisions but also a keen awareness of the socio-economic dynamics at play.

Notes:
- The reassurance was provided that the misrepresentation by the Seattle Times about water bills was clarified.
- The water rates approved reflect meticulous planning, aiming to balance necessary utility support with the city’s commitment to keeping living costs manageable for its residents.
- The meeting underscored ongoing concerns about the regressive nature of tax and rate structures and their impact on less affluent residents.
- The discussion briefly touched upon the strategic use of cash reserves and on-hand cash to alleviate the need for steep rate hikes, citing fiscal prudence as a guiding principle.
- A call for reevaluation of the utility cost distribution and the exploration of more equitable formulas mirrored broader discussions on tax reform and social equity.
- The proceedings concluded with the passage of the bill, signifying a cautious but necessary step forward in addressing the city's utility and infrastructure needs amid a complex socio-economic backdrop."
SeattleCityCouncil_05042015_CB 118378,"Meeting Title: Seattle City Council Bill 118378 Meeting

Location: Seattle City Council

Date: 05/04/2015

Attendees:
- Speaker 7
- Councilmember Banks (Speaker 0)
- Speaker 5
- Speaker 1
- Speaker 3
- Speaker 2

Agenda items discussed:
- Council Bill 118378 relating to Seattle Public Utilities
- The city's federal consent decree for control of combined sewer overflows
- The integrated plan's addition of $100 million in capital costs through 2030 for infrastructure work
- Water quality improvement goals and outcomes
- Passage of Council Bill 118378

Summary:
The meeting began with Speaker 7 presenting Council Bill 118378, which involves Seattle Public Utilities and aims to protect Seattle's waterways. This bill authorizes the director of Seattle Public Utilities to submit a plan that aligns with the obligations under a consent decree requested by both the United States Environmental Protection Agency and the State of Washington Department of Ecology. The discussion highlighted the years of work undertaken by Seattle Public Utilities to safeguard the waterways, emphasizing the initiative for combined sewer overflows control mandated by a federal consent decree. Speaker 5 praised Seattle Public Utilities for their ongoing efforts and detailed the federal requirement restricting overflows into Puget Sound and Lake Washington to not exceed one site 1% per year. An opportunity to delay meeting this standard through stormwater projects was outlined, proposing quality water outcomes without exceeding the identified rate increases in the strategic business plan. Furthermore, the adoption of Council Bill 118378 would allow for the extension of the consent decree implementation timeline. The integrated plan, previously approved at a conceptual level, indicates a noteworthy policy choice, earmarking an additional $100 million for capital costs by 2030, thereby enhancing infrastructure and ensuring quicker, more efficient water cleaning processes. The committee confidently recommended moving forward with the bill due to its potential for significant water quality improvements.

Notes:
- Speaker 5 articulated the substantial role of Seattle Public Utilities in improving water quality and infrastructure.
- The discussion centered on financial implications, environmental policies, and compliance with federal mandates.
- Most speakers expressed support for the bill, highlighting the expected positive influence on water quality and the environment.
- The bill passed with unanimous support, underscoring the council's commitment to environmental stewardship and sustainable urban planning.
- There was a notable emphasis on the collaborative efforts between city officials and public utilities, demonstrating a unified approach to meeting environmental and public health goals."
SeattleCityCouncil_04202015_CB 118362,"Meeting Title: Review of Council Bill 118362 Regarding Stormwater Code Amendments

Location: Seattle City Council

Date: April 20, 2015

Attendees:
- Councilmember Bagshaw (Speaker 0)
- Representative from Seattle Public Utilities (Speaker 2)
- Councilmembers: Rasmussen, Gordon Harrell, O'Brien, President Burgess (Speaker 1, Speaker 3, Speaker 0 for attendees list)
- Other unidentified council members

Agenda items discussed:
- Agenda Item number 11: Discussion on Council Bill 118362 related to the Stormwater Code, amending sections 22.800.040, 22.800.050, and 22.800.060 of the Seattle Municipal Code.
- Recommendation for the bill to pass by the Seattle Public Utilities and Neighborhoods Committee.
- Updates under the Federal Clean Water Act's Municipal Stormwater Permit requirements.
- Immediate changes proposed by the ordinance to save the city money while complying with pollution control and ecology requirements.
- Exemptions for Seattle public utility drinking water pipe projects from specific requirements consistent with the ecology requirements.
- Potential designation of areas exempt from the code's stormwater flow control requirements by the Seattle Public Utilities Director.

Summary:
The Council met to discuss and review Council Bill 118362, which focuses on amending specific sections of the Seattle Municipal Code related to the Stormwater Code. The amendments aim at updating regulations in compliance with the Federal Clean Water Act's Municipal Stormwater Permit. The changes facilitated by the bill propose to adjust water quality treatment thresholds for roadway projects, exempt specific public utility projects from green stormwater and water quality treatment requirements, and grant the Director of Seattle Public Utilities the authority to exempt areas from stormwater flow control requirements under certain conditions. These adjustments are designed to save costs while ensuring the city meets pollution control and ecology compliance standards. The bill was unanimously passed out of the committee with enthusiastic backing from council members who recognized the significance of these updates for the city's stormwater management practices. The discussion underscored the extensive collaborative effort over the last two years, involving numerous stakeholders to reach the recommended amendments, and noted the importance of achieving equivalency with the Ecology 2014 Stormwater Manual.

Notes:
- The unanimity in the committee's decision highlights broad support for the bill across different council members and underscores the importance of updating the city's stormwater management regulations.
- The mentioned immediate changes included in the ordinance demonstrate a proactive approach to align the city's practices with ecological requirements while being mindful of the economic impact.
- The involvement of Seattle Public Utilities in the preparatory phase and their recommendations played a crucial role in the bill's development and the committee's decision to recommend its passage.
